aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
krum,persistent_sybil,6,9,1,3,0.2,1.0,1,0.29438955,0.0034686914
krum,persistent_sybil,7,9,1,3,0.2,1.0,1,0.26334447,0.003102898
krum,persistent_sybil,8,9,1,3,0.2,1.0,1,0.2603167,0.0030672227
krum,persistent_sybil,9,9,1,3,0.2,1.0,1,0.29907483,0.0035238964
krum,persistent_sybil,10,9,1,3,0.2,1.0,1,0.51315945,0.0060463827
krum,persistent_sybil,11,9,1,3,0.2,1.0,1,0.34140223,0.0040226257
krum,persistent_sybil,12,9,1,3,0.2,1.0,1,0.19943902,0.0023499217
krum,persistent_sybil,13,9,1,3,0.2,1.0,1,0.33904147,0.00399481
krum,persistent_sybil,14,9,1,3,0.2,1.0,1,0.5628018,0.0066313013
krum,persistent_sybil,15,9,1,3,0.2,1.0,1,0.35295027,0.0041586924
krum,persistent_sybil,16,9,1,3,0.2,1.0,1,0.3948724,0.0046526464
krum,persistent_sybil,17,9,1,3,0.2,1.0,1,0.23228851,0.0027369761
krum,persistent_sybil,18,9,1,3,0.2,1.0,1,0.25847915,0.0030455715
krum,persistent_sybil,19,9,1,3,0.2,1.0,1,0.21981928,0.0025900553
krum,persistent_sybil,0,9,1,3,0.2,1.0,1001,0.16645326,0.001961262
krum,persistent_sybil,1,9,1,3,0.2,1.0,1001,0.24568477,0.0028948197
krum,persistent_sybil,2,9,1,3,0.2,1.0,1001,0.22888859,0.002696916
krum,persistent_sybil,3,9,1,3,0.2,1.0,1001,0.6076259,0.007159448
krum,persistent_sybil,4,9,1,3,0.2,1.0,1001,0.46483585,0.005477002
krum,persistent_sybil,5,9,1,3,0.2,1.0,1001,0.54728705,0.006448496
krum,persistent_sybil,6,9,1,3,0.2,1.0,1001,0.4003571,0.004717271
krum,persistent_sybil,7,9,1,3,0.2,1.0,1001,0.19864288,0.0023405412
krum,persistent_sybil,8,9,1,3,0.2,1.0,1001,0.10229416,0.0012052972
krum,persistent_sybil,9,9,1,3,0.2,1.0,1001,0.37820598,0.004456272
krum,persistent_sybil,10,9,1,3,0.2,1.0,1001,0.2804325,0.0033042403
